============================================================
 YOUTUBE TRANSLATED TRANSCRIPT REPORT
============================================================
Title:        This Could Be India's Biggest Multi-Decade Investing Theme? Best Stocks To Buy Now | Dipan Mehta
Channel:      PaisaSmart
Video ID:     7BbxtDLDJmE
Video URL:    https://www.youtube.com/watch?v=7BbxtDLDJmE
Thumbnail:    https://i.ytimg.com/vi/7BbxtDLDJmE/hqdefault.jpg
Snippet Count:607
============================================================

--- FULL TRANSLATED TRANSCRIPT TEXT WITH TIMESTAMPS ---

[02:47] have said that an annual capital
[02:50] outlay of more than Rs 3
[02:52] lakh crore should be made for
[02:53] creating an entire ecosystem for manufacturing
[02:55] in defense components. So the first
[02:57] trigger was the massive investment taking
[02:59] place in the defense sector. And
[03:00] see, now defense has also become
[03:02] quite modernized. Many such equipments come
[03:04] here where electronics are also used
[03:06] and quite sophisticated equipment is also
[03:08] made. As we have seen that
[03:10] drones are made and then radar
[03:12] equipment is made. And there are
[03:14] many such weapons where electronics software and hardware are used. And the components that go there have to be extremely
[03:16] The precision and quality should be
[03:19] very good. And the materials which
[03:20] are used for manufacturing these components
[03:22] is also very superior thin as
[03:24] well as very very hard. The
[03:26] second trigger is aerospace. Most of
[03:28] the aerospace parts were manufactured in
[03:31] China and the rest in Asian
[03:33] countries, but the big aviation companies
[03:35] like AirB or Boeing could get
[03:37] these parts manufactured in China and
[03:39] other Asian locations. But because of
[03:41] China Plus One strategy and overall
[03:43] I think because of diversification of
[03:45] supplier base, a lot of orders
[03:48] from the large aviation companies which
[03:50] make airplanes, make fighters, these orders
[03:52] are being sourced outsourced in India
[03:54] and the components there are mission
[03:55] critical components, they are being manufactured
[03:57] in India hence the shift in
[04:00] aerospace component. Supply chain to India
[04:02] has become a huge opportunity and
[04:04] many experts believe that the export
[04:06] of $ 2 billion in 2025
[04:09] for aerospace components that can grow
[04:11] at 7 8% compound over the
[04:12] next two three years also and
[04:14] this is a complete export business.
[04:16] Therefore, due to rupee depreciation our
[04:17] comparative position improves. And whatever these aerospace exports are
[04:19] These are all long term
[04:21] contracts which means we get
[04:23] very good earnings visibility here.
[04:24] The third trigger is peace.
[04:27] Yes, Shanti which is Sustainable
[04:28] Harnessing and Advancement of Nuclear
[04:31] Energy for Transforming India. This
[04:33] act has been passed in
[04:36] 2025. And here the government
[04:38] has targeted that 100 gigawatt
[04:40] nuclear capacity will get created
[04:43] by 20047 and nuclear power
[04:44] plants are very complex systems
[04:46] and here too many precision
[04:48] engineering parts are required. Therefore,
[04:50] the third trigger became nuclear
[04:52] energy where India and all
[04:54] over the world are being
[04:56] focused a lot. Because whatever
[04:57] shortage of energy i.e. electricity
[04:59] is going to come because
[05:02] of data centers, because of
[05:03] urbanization, because of climate change,
[05:06] this energy shortage is electricity
[05:08] shortage that has to be
[05:10] covered by renewable sources like
[05:12] wind power and solar power.
[05:14] But if you want stability
[05:16] for generating power then nuclear
[05:18] power is also a very
[05:20] important component in energy security
[05:22] and supplying electricity on a reliable basis. So the three triggers are defense manufacturing, outsourcing of aerospace parts by global aerospace manufacturing companies
[05:24] Government's focus on From India and nuclear
[05:26] power plants. So, because of these three
[05:28] triggers, India's hi-tech position engineering companies have
[05:30] got a lot of encouragement and have
[05:32] become a trigger for exceptionally good performance.
[05:34] In this video we will discuss five
[05:36] companies. And what is the special thing
[05:38] in these five companies? Very good growth
[05:40] rates are coming for the last three
[05:42] four years and even the current year.
[05:44] And going forward the management is very
[05:46] confident about sustaining 25 30% growth rates.
[05:48] But finally we will tell you a
[05:50] strategy how to monitor this industry and
[05:52] how to invest and trade in this
[05:54] industry. So please watch this video till
[05:56] the end. Before going further, thank you
[05:59] very much. You have supported our channel
[06:01] so much. We are seeing a gradual
[06:03] increase of subscribers and there are many
[06:06] more viewers. But there are many such
[06:07] viewers who are not subscribing. Why are
[06:09] you not doing it? This is a
[06:12] free channel. Please subscribe to our channel
[06:14] so that you get alerts when we
[06:15] are posting a new video and also
[06:17] comment. We will be more than happy
[06:19] to answer any of your comments and
[06:21] suggestions. And if there is any topic
[06:23] you want to discuss we are also
[06:25] open to that suggestion. So our first company is PTC
[06:27] Industries. It is a very good
[06:28] manufacturing company. They say that they
[06:30] are a melt two machine manufacturing
[06:33] company. That is, the basic metals
[06:35] which are high precision metals like
[06:37] titanium, they are able to melt
[06:39] that and they are also able
[06:41] to convert it into furze pass
[06:43] and final machining and make complete
[06:45] assemblies. They have set up a
[06:48] 50 acre SMPC plant in Lucknow.
[06:50] SMTC stands for Strategic Minerals Technology
[06:52] Complex. He has set up a
[06:54] plant of about 50 acres in
[06:56] Lucknow which has got full support
[06:58] of the government. And this is
[07:01] a very good company because their
[07:03] expertise in manufacturing titanium components is
[07:04] very high and tanium components are
[07:06] those components which go into defense
[07:08] equipment which go into aerospace which
[07:10] also go into nuclear. We will
[07:11] see again and again that titanium
[07:14] is a very important metal. You
[07:15] know that titanium has a very
[07:17] good strength to weight ratio. That
[07:20] is, if you want to make
[07:22] such parts which are light, durable
[07:24] and also have extreme strength, then
[07:26] all those parts are made from
[07:29] titanium. And titanium which is a very difficult metal for manufacturing and for making components out of it. so if
[07:31] If any company has the technology to
[07:33] manufacture titanium components then the prospects of
[07:35] this company will definitely be good. And
[07:37] PTC Industry which is our company is
[07:38] one of the leading manufacturer of titanium
[07:40] components for entire industry and even for
[07:42] exports. Let's look at its financials. The
[07:44] current price of PTC Industries is around
[07:45] Rs 17,000, which is only 10% down
[07:47] from the all-time high. The market cap
[07:49] is around Rs 26,000 crore. If we
[07:52] analyze the valuation which is 263 times
[07:54] quarterly multiple then it is 111 times.
[07:56] That means it is very expensive. But
[07:58] like I said friends, how should one
[08:00] invest in these companies? What are the
[08:02] strategies, what are the signals, we will
[08:04] see later. But at this moment it
[08:05] appears to be expensive. But you look
[08:08] at its growth rate. Sales over in
[08:09] March quarter was up 85% Profit was
[08:13] up 140% 3 year sales growth up
[08:15] 40% 3 year profit growth now 57%
[08:19] Five year sales growth 30% Five year
[08:21] profit growth 101% i.e. a high growth
[08:24] company. This company has progressed a lot
[08:27] in the last 10 years. Sales are
[08:29] about 62 crores and net profit after
[08:31] tax is 1101 crores. That means this
[08:33] company is a high growth company. It
[08:35] is a mid cap company and its order book position is also quite excellent and I think this company
[08:37] Please keep track. It is expensive
[08:40] but there is very aggressive growth
[08:42] in this company and the management
[08:45] claims that they can easily grow
[08:46] at a 30- 40% compound for
[08:49] the next several years. This company
[08:51] is quite significant because it is
[08:53] one of the only manufacturers among
[08:54] the few manufacturers of titanium products
[08:56] in India. Our second company is
[08:59] MPR Technologies. You must have heard
[09:00] the name. We have discussed it
[09:02] in detail in our data centers
[09:03] video. Go there and check out
[09:05] what price we discussed and what
[09:07] is the current price. We have
[09:09] discussed this company very extensively. This
[09:11] stock idea has been presented before
[09:13] you. This has also been one
[09:15] of our money maker stocks and
[09:17] I think this company is definitely
[09:19] worth watching. Their biggest client is
[09:21] Bloom Technologies. And Bloom which is
[09:23] manufacturing backup power systems for data
[09:25] centers. Data centers require uninterrupted power.
[09:27] If continuous power is required then
[09:28] the power comes from the grid
[09:30] but they also have backup power
[09:32] system and the big data centers
[09:35] do not rely only on batteries,
[09:36] they are relying on backup power systems which is generated in a clean manner from fuel cells. This fuel cell technology is clean as well as reliable.
[09:39] And it is also well scalable
[09:41] and MTR Technologies which is the
[09:43] manufacturer of hot boxes for bloom,
[09:46] these hot boxes which are here,
[09:48] the fuel cell is the reaction
[09:50] of the fuel cell and from
[09:52] where the power is generated, that
[09:55] is done in the hot boxes
[09:57] and MPR which is one of
[09:58] the key suppliers of these hot
[10:01] boxes for bloom. The book position
[10:03] of this company is Rs 2400
[10:05] crore. And the management's target is
[10:07] 5000 crore order book position by
[10:09] the year end. 82% of their
[10:12] revenue comes from exports. And apart
[10:13] from manufacturing these hot boxes, they
[10:15] have a huge contribution in India's
[10:17] aviation industry. And their products are
[10:20] also going to be used in
[10:23] the Tejas aircraft that are going
[10:26] to be built. Management says revenues
[10:29] will be 80% higher in FY27.
[10:31] Yes, the target is 80% higher
[10:33] revenues with 24% Ebitda margin and
[10:35] clean energy which is not only
[10:37] for exports but this company can
[10:39] have a good contribution in nuclear
[10:41] also, so pay special attention to
[10:44] MTR Technology. It is a cap
[10:45] company, its market cap is around Rs 24000 crore and here also the price earning multiple is 240 pan.
[10:48] That means it is very expensive if
[10:50] the March quarter figures were very good.
[10:52] Even if we were to analyze it,
[10:53] its P multiple would be 133 times.
[10:55] Operating profit margin 19 1/2% but look
[10:58] the March quarter numbers were fantastic. Revenues
[11:00] were up 67%, profits were up 212%.
[11:04] In the last one year this company
[11:06] gave 334% return. That means very good
[11:08] returns have been given. And going forward,
[11:10] because of the order book position, because
[11:11] of management guidance, I think this company
[11:13] will always be in investors' fancy. The
[11:15] company's 10 year sales have been 26.81%
[11:18] and profit has been 87.78% i.e. there
[11:21] has been tremendous growth in the last
[11:23] 10 years. And this data center which
[11:25] they are getting huge orders for hot
[11:27] boxes, this is a new growth avenue
[11:29] of theirs in my opinion, a new
[11:31] growth avenue has been found for MTR
[11:33] Technologies and this company is making very
[11:35] big expansion plans to support the export
[11:37] orders which it has got in hand.
[11:39] So our second company is MTR Technology.
[11:41] Definitely keep this in mind. This is
[11:43] also a very important high tech precision
[11:44] engineering company whose prospects are very good.
[11:44] [nasal noises] SB Registered Research Analyst We
[11:47] have hosted a model portfolio. If you
[11:49] want to know more about this model portfolio
[11:51] If you want then you must
[11:54] scan this QR code and what
[11:57] is this model portfolio? How does
[12:00] it work? What are his objectives?
[12:02] We can give you all these
[12:05] things information. This is not an
[12:07] advertisement. It is only for your
[12:09] knowledge. Our third company is Equus
[12:11] which is a recent listing. This
[12:14] company is a vertically integrated precision
[12:17] engineering manufacturing company. Dedicated to aviation
[12:19] and he also has a small
[12:21] toy business. Yes, it manufactures consumer
[12:23] products. They are manufacturing toys, electronic
[12:25] toys also but most of its
[12:27] revenues come from aerospace. Come from
[12:30] aerospace part. More than 5600 very
[12:32] different SKUs i.e. distinct products. There
[12:35] are about 5000 products which go
[12:37] into an airplane. Do watch their
[12:39] presentation. There they have shown the
[12:40] entire airplane and said where they
[12:43] go. They go in the interior,
[12:45] they go in the exterior, they
[12:47] go in the actual engine, also
[12:49] in the doors. Also, there are
[12:51] many applications of this company. And
[12:53] all the big companies, be it
[12:56] Boeing, Air Bus or other big
[12:58] companies, aviation companies, they are all the customers of this company, its order position is around 900 million and this company is
[13:01] Guiding for 45 to 50% revenue growth
[13:03] for the current year and EBITDA which
[13:05] is what is expected i.e. operating profit
[13:06] which should be double but this company
[13:09] is still loss making and the management
[13:11] says that because of heavy investment which
[13:12] they are making in the aerospace components,
[13:15] it may come into loss for another
[13:17] year. But after that the growth of
[13:20] this company will be very great. And
[13:22] quickly they will be able to make
[13:23] very good profits because the orders they
[13:25] have are very good orders and their
[13:27] customers are also very very big customers.
[13:29] See if you are supplying components to
[13:32] Boeing or Airbus. If you have become
[13:34] eligible, you are on their list, then
[13:36] orders are bound to come and all
[13:38] you have to do is manufacture and
[13:40] execute and supply. And rupee dating can
[13:42] definitely have a positive impact on your
[13:44] margins as well. The price of Apis
[13:46] is Rs 199 or around Rs 200.
[13:48] Is on about 10% from the all
[13:50] time high. The market cap is around
[13:52] Rs 13,000 crore. Its valuation is not
[13:54] really a P multiple because it is
[13:56] actually a loss making company. Last year
[13:57] he had made sales of Rs 1200
[14:00] crores and had a loss of Rs 113 crores. So this is a loss making company. so we need a little
[14:01] One should be careful on this.
[14:04] Still, one should definitely watch it
[14:06] because when this company goes from
[14:09] loss to profit, it can definitely
[14:10] get affected. It may come back
[14:12] to life. So one should definitely
[14:14] track this company. Like I said
[14:16] that they have a very big
[14:18] Special Economic Zone from where they
[14:20] are exporting almost 80 90%, so
[14:22] their exports are to all the
[14:24] global aviation companies and if there
[14:26] is any company which goes into
[14:28] aerospace components, we have gone to
[14:29] the planes many times but have
[14:31] you ever thought that these components
[14:32] or assemblies in the planes can
[14:35] be manufactured in India, then this
[14:37] is a company which Many assembly,
[14:38] sub-assemblies and components and parts of
[14:40] Planes are manufactured in India, hence
[14:41] we should definitely track this company.
[14:44] Our next company is very interesting.
[14:47] So like I said, the parts
[14:48] we make for aerospace defense nuclear,
[14:50] the components we make, the engineering
[14:52] parts we make, mostly these engineering
[14:54] parts are made from very high
[14:57] tech metals especially titanium and other
[15:00] metals and this company is Mishra
[15:02] Dhatu Nigam, its code is NSC Midani. It is manufacturing all these high tech metals especially titanium.
[15:06] This company is a PSU company
[15:08] and their products are in very
[15:10] very high demand and the special
[15:13] thing is that it is making
[15:15] a metal bank for all the
[15:17] important metals which go in to
[15:19] manufacturing of titanium. So our policy
[15:21] is for self-reliance in all the
[15:23] critical components and critical materials. There
[15:25] is a huge contribution of this
[15:27] company and this company is doing
[15:28] it in a very good way.
[15:30] They are expanding and have a
[15:32] huge order book position of around
[15:34] Rs 2300 crores, out of which
[15:36] they have to target fresh orders
[15:39] worth Rs 1500 crores for F27.
[15:40] They have doubled their titanium output
[15:42] to 700 tonnes. So keeping in
[15:44] mind the demand, they have doubled
[15:45] their production. That means if capacity
[15:47] is added then gradually the production
[15:49] of this company will also increase.
[15:51] So their metal is that which
[15:53] has been recently certified. 10 different
[15:55] types of metals have all been
[15:57] certified. Because of which this company
[15:59] can show excellent growth. The management
[16:01] says that they will target stable
[16:04] 15 20% growth over the next
[16:06] three to four years even further
[16:08] also. So this very important goal of ours is self-reliance on key metals and we have to make a huge contribution to whatever is available there. Therefore, definitely track this company. This one actually
[16:10] Engineering is not a precision company.
[16:12] This is the basic raw material
[16:15] manufactured for the high tech precision
[16:16] engineering companies. That's why if you
[16:18] want such a company which is
[16:21] a complete play on these super
[16:24] super high growth high precision hi-tech
[16:25] engineering components. So this is a
[16:28] company which is a perfect play
[16:30] on the entire industry. Because it
[16:32] makes basic metals and these are
[16:34] the metals, this is the only
[16:35] company in India which makes these
[16:37] metals and these metals are direct
[16:39] import substitution, so the prospects of
[16:40] this company should definitely be good.
[16:42] All the companies we have discussed
[16:44] are purely stock ideas, they are
[16:46] not recommendations. You should do your
[16:48] own research. The name of our
[16:50] last company is Yunc Arrow, it
[16:52] is a very small cap stock,
[16:53] around Rs 1100. Its market capitalization
[16:56] is Rs. crores and this company
[16:58] also has a very good order
[17:00] position of around Rs. 314 crores
[17:02] and also this company which is
[17:04] like this is manufacturing a lot
[17:07] of aerospace and airplane parts. Big
[17:08] aviation companies are its customers. This
[17:09] is also a company which has more than 5000 SKs in use. That means there are so many different types of components and assemblies that companies are manufacturing. But this company
[17:11] Its results were not good in the
[17:13] March quarter. Revenues up by 19%, profits
[17:15] down by 10.62%. The reason for this
[17:18] was that most of their exports go
[17:19] to the US and due to the
[17:22] lockdown in the US, demand has definitely
[17:24] been affected. Hence its March order figures
[17:26] were a bit weak. But It's a
[17:28] Company Worth Watching is a small cap
[17:30] company. If big orders come and if
[17:32] this tariff agreement is made between India
[17:33] and the US, then definitely a company
[17:35] like Unmak Arrow can benefit from it.
[17:38] Its market capitalization is around Rs 5800
[17:40] crore. Stock Prices Rs 1138 Crore. Its
[17:43] P multiple is around 92 times. The
[17:45] PE multiple for the March quarter is
[17:47] around 55 times. And this company has
[17:49] sales of around Rs 240 crore. Its
[17:52] order position is around 314 crores and
[17:55] the last profit was about 63 crores
[17:57] and so it is also a very
[17:59] good small cap company which we should
[18:01] always keep in mind. So these were
[18:04] our five companies in hi-tech precision engineering
[18:06] industry and this industry is high growth.
[18:09] All the companies here are saying that
[18:10] anywhere from 25 to 70-80% growth can
[18:12] come. And what we need for good
[18:14] returns We want growth and the companies
[18:16] are definitely giving us very good solid growth for the next three to four years. Earning visibility is also very good
[18:18] Is. Because all the orders are
[18:19] long term orders. And here the
[18:22] situation is that once the customer
[18:24] has placed the order with you,
[18:26] you have become empaneled with them.
[18:28] Once your production, your systems, your
[18:30] quality control matches and passes their
[18:32] criteria, then orders keep coming to
[18:34] you. That means there is very
[18:36] good customer stickiness. Finally investment strategy
[18:38] in companies. Yes, all these companies
[18:40] are very expensive. Optically they appear
[18:42] to be extremely expensive at 70,
[18:44] 80, 100 times the multiple. Therefore,
[18:46] investing at this level may become
[18:48] problematic for some investors. One I
[18:50] think could become a risk factor.
[18:52] But how can you invest in
[18:55] it? See, the biggest risk factor
[18:58] in this end of the day
[18:59] company is execution. All the orders
[19:02] that come have to be executed.
[19:03] Sometimes unable to execute. Sometimes they
[19:05] tell their customers to just delay
[19:07] the supply, delay the delivery. So
[19:09] what happens here is that the
[19:11] results may be temporarily bad in
[19:14] some quarters. As it has happened
[19:16] in the past. As we saw,
[19:17] the March quarter in Yunq was
[19:19] not good. Stock price corrected. So there will be some quarters where the results are good
[19:22] Will not come. On a year on
[19:24] year basis, on a quarter on quarter
[19:25] basis, profits may be lower, it may
[19:28] even go into a loss as the
[19:31] case scenario, so when the results are
[19:33] bad in the quarter, that is the
[19:35] entry point, the sentiment gets spoiled, that
[19:36] spoiled sentiment can become our advantage because
[19:38] long term growth treasury is very strong
[19:41] but in the quarters, there can be
[19:42] volatility in the earnings and this We
[19:44] have to take advantage of volatility and
[19:45] whenever the stock price is down correcting
[19:48] 30 40 50% from its all time
[19:49] high that is definitely an opportunity for
[19:51] us to invest. At that time we
[19:53] will get margin of safety but before
[19:55] investing please keep in mind that the
[19:57] order book position is fine because so
[19:58] long as the order book is growing
[20:00] we can be assured of long. Term
[20:02] growth rate with in this sector. So
[20:04] this was our discussion on Hi-tech precision
[20:06] engineering companies are a sunrise industry and
[20:08] if we have to make defense equipment
[20:10] in India. If we have to make
[20:12] airplanes, if we have to make nuclear
[20:14] plants, then these companies, this entire industry,
[20:16] have a huge contribution and their growth
[20:18] rate will be excellent. There will also
[20:20] be encouragement from the government and they will get exclusive manufacturing contracts as they have.
[20:21] Been Getting This
[20:23] Now. Therefore, this
[20:24] is a sector
[20:26] that we are
[20:28] definitely going to
[20:29] track very very
[20:31] closely for you
[20:33] and you should
[20:35] also track these
[20:38] five companies very
[20:40] closely. Please share
[20:41] the video with
[20:43] your friends. This
[20:45] Podcast All Register
